name,muscle groups,impact,equipment,short description,short explanation,long explanation
Plank,Core,Low,none,"The plank is a core stabilization exercise that also targets your arms and shoulders.","Get into a push-up position and hold your body straight from head to heels.","Lie face down then lift yourself up onto your elbows and toes. Keep your back flat and your body in a straight line from head to heels. Hold this position while keeping your abdominal muscles tight to avoid sagging hips."
Kettlebell Swing,Legs, Back, High,kettlebells,"Kettlebell swings are a dynamic exercise targeting the legs, glutes, and back, enhancing power and endurance.","Stand with feet shoulder-width apart, swing a kettlebell between your legs and then thrust it up to chest height.","Stand with feet slightly wider than shoulder-width apart, holding a kettlebell with both hands. Bend your knees slightly and swing the kettlebell between your legs. Forcefully thrust your hips forward and swing the kettlebell up to chest height, then let it swing back between your legs."
Hip Thrust,Glutes, Low,weight bench,"Hip thrusts specifically target the glute muscles for strength and size enhancement.","Sit on the ground with a weight bench behind you, place your upper back against the bench, and push your hips up.","Sit on the ground with your back against a bench and a barbell over your hips. Plant your feet firmly on the ground and push your hips upwards, fully extending your hips at the top while squeezing your glutes. Lower back down after a brief pause."
Burpees,Full body, High,none,"Burpees are a high-intensity full-body exercise that improves strength, agility, and endurance.","Begin in a standing position, drop into a squat with hands on the ground, then kick back into a push-up position, return to squat and jump up.","Start standing, then lower into a squat with your hands on the floor. Kick your feet back into a push-up position and perform a push-up. Quickly return your feet to the squat position and jump up explosively."
Farmers Walk,Full body, Medium,dumb bells,"Farmers walks build muscle and strength in the shoulders, traps, and grip while improving endurance.","Grab a pair of heavy dumbbells, hold them at your sides and walk a specific distance.","Pick up a pair of dumbbells or kettlebells, stand up straight, and walk a designated distance or until you can no longer maintain your grip. Keep your shoulders back and your core engaged throughout."
Mountain Climbers,Full body, Medium,none,"Mountain climbers are a cardio exercise that also targets the core and upper body.","Start in a plank position and alternate driving your knees towards your chest rapidly.","Begin in a push-up position with your arms straight. Quickly draw one knee towards your chest and return it to the starting position, then switch to the other knee. Continue alternating rapidly."
Reverse Lunges,Legs, Glutes, Low,none,"Reverse lunges strengthen the legs and glutes with a focus on balance and coordination.","Stand with feet hip-width apart, step backward with one leg and lower your hips until both knees are bent at a 90-degree angle.","Start standing, then step back with one foot. Lower your hips so that your rear knee nears the floor while your front thigh is parallel to the floor. Ensure your front knee stays above the ankle and doesn't push too far forward."
Calf Raises,Calves, Low,step blocks,"Calf raises are a straightforward exercise targeting the calf muscles for improved strength and mobility.","Stand on the edge of a step with heels hanging off, push up onto your toes and lower back down.","Stand on a step with your heels hanging off the edge. Push up onto your tiptoes, hold for a moment, and then lower back down below the step to stretch your calves."
Wall Sit,Legs, Low,none,"Wall sits are a static exercise that improves endurance and strength in the lower body.","Slide your back down a wall until your thighs are parallel to the ground and hold the position.","Lean back against a wall with your feet shoulder-width apart and about two feet from the wall. Slide down until your knees are at a 90-degree angle and hold this position."
Tuck Jumps,Legs, High,none,"Tuck jumps are a high-impact exercise that improves leg power and cardiovascular fitness.","Perform a squat, jump up explosively and pull your knees to your chest, then land softly.","Start in a squat position, explode upwards and pull your knees towards your chest while jumping. Land softly and go back into a squat to prepare for the next jump."
